,County,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date,Rank,Population,%_pop_new_cases,%_pop_total_cases
0,Alameda,29.0,0.0,29,0,2020-03-18,7,1671329,0.0017351461022934442,0.0017351461022934442
1,Alameda,36.0,0.0,7,0,2020-03-19,7,1671329,0.0004188283695191073,0.0021539744718125516
2,Alameda,42.0,0.0,6,0,2020-03-20,7,1671329,0.00035899574530209193,0.0025129702171146438
3,Alameda,62.0,0.0,20,0,2020-03-21,7,1671329,0.0011966524843403064,0.0037096227014549498
4,Alameda,72.0,1.0,10,1,2020-03-22,7,1671329,0.0005983262421701532,0.004307948943625103
5,Alameda,88.0,1.0,16,0,2020-03-23,7,1671329,0.0009573219874722452,0.005265270931097348
6,Alameda,96.0,2.0,8,1,2020-03-24,7,1671329,0.0004786609937361226,0.005743931924833471
7,Alameda,134.0,3.0,38,1,2020-03-25,7,1671329,0.002273639720246582,0.008017571645080053
8,Alameda,172.0,4.0,38,1,2020-03-26,7,1671329,0.002273639720246582,0.010291211365326635
9,Alameda,185.0,4.0,13,0,2020-03-27,7,1671329,0.0007778241148211992,0.011069035480147834
10,Alameda,205.0,6.0,20,2,2020-03-28,7,1671329,0.0011966524843403064,0.012265687964488141
11,Alameda,207.0,6.0,2,0,2020-03-29,7,1671329,0.00011966524843403064,0.012385353212922171
12,Alameda,250.0,7.0,43,1,2020-03-30,7,1671329,0.0025728028413316588,0.01495815605425383
13,Alameda,269.0,7.0,19,0,2020-03-31,7,1671329,0.001136819860123291,0.016094975914377124
14,Alameda,287.0,8.0,18,1,2020-04-01,7,1671329,0.0010769872359062758,0.017171963150283395
15,Alameda,345.0,10.0,58,2,2020-04-02,7,1671329,0.0034702922045868885,0.020642255354870284
16,Alameda,395.0,11.0,50,1,2020-04-03,7,1671329,0.0029916312108507663,0.023633886565721053
17,Alameda,468.0,12.0,73,1,2020-04-04,7,1671329,0.004367781567842118,0.028001668133563168
18,Alameda,475.0,12.0,7,0,2020-04-05,7,1671329,0.0004188283695191073,0.028420496503082274
19,Alameda,527.0,13.0,52,1,2020-04-06,7,1671329,0.0031112964592847968,0.03153179296236708
20,Alameda,560.0,14.0,33,1,2020-04-07,7,1671329,0.0019744765991615057,0.03350626956152858
21,Alameda,594.0,15.0,34,1,2020-04-08,7,1671329,0.002034309223378521,0.0355405787849071
22,Alameda,641.0,17.0,47,2,2020-04-09,7,1671329,0.00281213333819972,0.03835271212310682
23,Alameda,706.0,26.0,65,9,2020-04-10,7,1671329,0.0038891205741059956,0.042241832697212815
24,Alameda,751.0,26.0,45,0,2020-04-11,7,1671329,0.002692468089765689,0.04493430078697851
