,County,Hillary Clinton,Bernie Sanders,Donald Trump,John R. Kasich,Ted Cruz,Ben Carson,Republican Votes,Democratic Votes,%_Republican,%_Democrat,Affiliation,Aff_Code
0,Alameda,164889,153955,29097,7614,4807,1973,43491,318844,12.00298066706225,87.99701933293775,Democrat,1
1,Alpine,113,137,123,19,7,5,154,250,38.11881188118812,61.88118811881188,Democrat,1
2,Amador,2516,2386,4868,478,399,217,5962,4902,54.87849779086893,45.12150220913107,Republican,0
3,Butte,11766,19739,20079,1828,1928,1231,25066,31505,44.30892153223383,55.691078467766175,Democrat,1
4,Calaveras,2971,2914,5763,499,513,209,6984,5885,54.26995104514726,45.73004895485275,Republican,0
5,Colusa,835,809,1712,136,136,63,2047,1644,55.45922514223788,44.54077485776212,Republican,0
6,Contra Costa,103333,77862,41456,10516,5201,2066,59239,181195,24.638362294850147,75.36163770514986,Democrat,1
7,Del Norte,1119,1598,1895,134,237,132,2398,2717,46.88172043010753,53.118279569892465,Democrat,1
8,El Dorado,12492,12620,21889,2673,2057,1039,27658,25112,52.41235550502179,47.58764449497821,Republican,0
9,Fresno,45436,34663,50476,5148,7092,2622,65338,80099,44.925294113602455,55.074705886397545,Democrat,1
10,Glenn,911,1003,2521,174,246,151,3092,1914,61.765880942868556,38.234119057131444,Republican,0
11,Humboldt,8135,19928,6762,828,1033,514,9137,28063,24.561827956989248,75.43817204301075,Democrat,1
12,Imperial,9843,5111,3801,348,771,254,5174,14954,25.705484896661368,74.29451510333863,Democrat,1
13,Inyo,1001,1313,1924,223,176,126,2449,2314,51.41717404996851,48.58282595003149,Republican,0
14,Kern,28806,23374,50186,4278,7673,2600,64737,52180,55.37004883806461,44.62995116193539,Republican,0
15,Kings,4150,2869,7446,482,922,360,9210,7019,56.75026187688705,43.24973812311295,Republican,0
16,Lake,3988,5195,4163,441,348,221,5173,9183,36.03371412649763,63.96628587350237,Democrat,1
17,Lassen,812,1023,3231,177,315,171,3894,1835,67.9699773084308,32.03002269156921,Republican,0
18,Los Angeles,780013,639886,236437,44771,40925,13029,335162,1419899,19.096886091138714,80.90311390886129,Democrat,1
19,Madera,5808,4852,9976,835,1355,491,12657,10660,54.28228331260454,45.71771668739546,Republican,0
20,Marin,43283,33214,9882,3752,923,431,14988,76497,16.38301360878833,83.61698639121168,Democrat,1
21,Mariposa,1102,1355,2296,216,331,112,2955,2457,54.60088691796009,45.39911308203991,Republican,0
22,Mendocino,6048,12259,4000,522,458,241,5221,18307,22.19058143488609,77.8094185651139,Democrat,1
23,Merced,10839,9273,10344,881,1360,476,13061,20112,39.372381153347604,60.627618846652396,Democrat,1
24,Modoc,281,349,1244,67,110,67,1488,630,70.25495750708215,29.745042492917843,Republican,0
25,Mono,799,1038,896,156,95,57,1204,1837,39.59223939493587,60.40776060506412,Democrat,1
26,Monterey,29730,26073,14134,3185,1753,744,19816,55803,26.20505428529867,73.79494571470133,Democrat,1
27,Napa,13583,11682,7409,1536,806,476,10227,25265,28.814944212780347,71.18505578721965,Democrat,1
28,Nevada,8175,13827,12050,1372,928,707,15057,22002,40.62980652473083,59.37019347526916,Democrat,1
29,Orange,171593,156235,201335,29393,24349,7976,263053,327828,44.51877789267213,55.48122210732787,Democrat,1
30,Placer,25249,20916,41386,5364,3564,1946,52260,46165,53.09626619253238,46.90373380746761,Republican,0
