Rank,County,Population
1,Los Angeles,10039107
2,San Diego,3338330
3,Orange,3175692
4,Riverside,2470546
5,San Bernardino,2180085
6,Santa Clara,1927852
7,Alameda,1671329
8,Sacramento,1552058
9,Contra Costa,1153526
10,Fresno,999101
11,Kern,900202
12,San Francisco,881549
13,Ventura,846006
14,San Mateo,766573
15,San Joaquin,762148
16,Stanislaus,550660
17,Sonoma,494336
18,Tulare,466195
19,Solano,447643
20,Santa Barbara,446499
21,Monterey,434061
22,Placer,398329
23,San Luis Obispo,283111
24,Merced,277680
25,Santa Cruz,273213
26,Marin,258826
27,Yolo,220500
28,Butte,219186
29,El Dorado,192843
30,Imperial,181215
31,Shasta,180080
32,Madera,157327
33,Kings,152940
34,Napa,137744
35,Humboldt,135558
36,Nevada,99755
37,Sutter,96971
38,Mendocino,86749
39,Yuba,78668
40,Tehama,65084
41,Lake,64386
42,San Benito,62808
43,Tuolumne,54478
44,Calaveras,45905
45,Siskiyou,43539
46,Amador,39752
47,Lassen,30573
48,Glenn,28393
49,Del Norte,27812
50,Colusa,21547
51,Plumas,18807
52,Inyo,18039
53,Mariposa,17203
54,Mono,14444
55,Trinity,12285
56,Modoc,8841
57,Sierra,3005
58,Alpine,1129
